Code;Data;Empresa;Membro;Ativo;Qnt. Inicial;Qnt. Final;Saldo
18953;jul/22;CPFL GERACAO DE ENERGIA S.A.;Controlador;Ações;225.137.769.366;225.137.769.366;0
17930;jul/22;RUMO MALHA PAULISTA S.A.;Controlador;Ações;58.947.782.010;58.947.782.010;0
19275;jul/22;CIA PIRATININGA DE FORCA E LUZ;Controlador;Ações;53.096.770.180;53.096.770.180;0
17930;jul/22;RUMO MALHA PAULISTA S.A.;Controlador;Ações;31.878.842.237;31.878.842.237;0
26530;jul/22;CENCOSUD BRASIL COMERCIAL S.A.;Controlador;Ações;6.801.464.243;6.801.464.243;0
24740;jul/22;CIA PARANAENSE DE ENERGIA - COPEL;Controlador;Ações;6.242.757.424;6.242.757.424;0
22616;jul/22;BCO BTG PACTUAL S.A.;Controlador;Ações;5.811.901.068;5.811.901.068;0
26808;jul/22;Copel Distribuição S.A.;Controlador;Ações;5.359.205.948;5.359.205.948;0
19348;jul/22;ITAU UNIBANCO HOLDING S.A.;Controlador;Ações;4.574.018.738;4.574.018.738;0
26484;jul/22;RUMO MALHA CENTRAL S.A.;Controlador;Ações;4.470.908.744;4.470.908.744;0
25585;jul/22;CSN MINERAÇÃO S.A.;Controlador;Ações;4.374.779.493;4.374.779.493;0
906;jul/22;BCO BRADESCO S.A.;Controlador;Ações;3.811.582.438;3.811.582.438;0
22470;jul/22;MAGAZINE LUIZA S.A.;Controlador;Ações;3.794.984.960;3.794.984.960;0
24015;jul/22;BCO BRADESCO S.A.;Controlador;Ações;3.359.691.616;3.359.691.616;0
19569;jul/22;GOL LINHAS AEREAS INTELIGENTES S.A.;Controlador;Ações;2.863.682.675;2.863.682.675;0
24392;jul/22;Hapvida Participações e Investimentos S.A.;Controlador;Ações;2.578.939.530;2.578.939.530;0
23795;jul/22;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;Controlador;Ações;2.415.000.000;2.415.000.000;0
24155;jul/22;COMPANHIA ENERGÉTICA SINOP S/A;Controlador;Ações;2.234.136.000;2.234.136.000;0
18309;jul/22;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Controlador;Ações;2.131.276.838;2.131.276.838;0
21903;jul/22;ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.;Controlador;Ações;2.086.714.537;2.086.714.537;0
25410;jul/22;SBF Comércio de Produtos Esportivos S.A.;Controlador;Ações;2.053.333.161;2.053.333.161;0
26174;jul/22;AES Brasil Operações S.A.;Controlador;Ações;1.995.532.616;1.995.532.616;0
26638;jul/22;CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A.;Controlador;Ações;1.922.550.917;1.922.550.917;0
19348;jul/22;ITAÚSA S.A.;Controlador;Ações;1.919.910.661;1.919.910.661;0
7617;jul/22;ITAÚSA S.A.;Controlador;Ações;1.919.910.661;1.919.910.661;0
24830;jul/22;BRK Ambiental Participações S.A.;Controlador;Ações;1.852.409.346;1.852.409.346;0
25186;jul/22;GRUPO MATEUS S.A.;Controlador;Ações;1.745.393.916;1.745.393.916;0
24015;jul/22;NCF PARTICIPAÇÕES S/A;Controlador;Ações;1.685.707.352;1.685.707.352;0
24929;jul/22;TIM S.A.;Controlador;Ações;1.611.969.946;1.611.969.946;0
21733;jul/22;CIELO S.A.;Controlador;Ações;1.594.957.131;1.594.957.131;0
24015;jul/22;NCF PARTICIPAÇÕES S/A;Controlador;Ações;1.502.370.308;1.502.370.308;0
3190;jul/22;REDE ENERGIA PARTICIPAÇÕES S.A.;Controlador;Ações;1.477.379.356;1.477.379.356;0
1023;jul/22;BCO BRASIL S.A.;Controlador;Ações;1.432.708.542;1.432.708.542;0
24171;jul/22;ATACADÃO S.A.;Controlador;Ações;1.422.232.970;1.422.232.970;0
22616;jul/22;BCO BTG PACTUAL S.A.;Controlador;Ações;1.397.425.360;1.397.425.360;0
19186;jul/22;SANEAMENTO DE GOIAS SA;Controlador;Ações;1.336.135.801;1.336.135.801;0
23159;jul/22;BB SEGURIDADE PARTICIPAÇÕES S.A.;Controlador;Ações;1.325.000.000;1.325.000.000;0
15300;jul/22;RUMO MALHA NORTE S.A.;Controlador;Ações;1.106.992.704;1.106.992.704;0
20575;jul/22;JBS S.A.;Controlador;Ações;1.083.129.897;1.083.129.897;0
24945;jul/22;USINA TERMELÉTRICA PAMPA SUL S.A.;Controlador;Ações;1.076.691.999;1.076.691.999;0
15539;jul/22;NEOENERGIA S.A.;Controlador;Ações;1.017.029.112;1.017.029.112;0
80209;jul/22;NU HOLDINGS LTD.;Controlador;Ações;990.500.922;990.500.922;0
18660;jul/22;CPFL ENERGIA S.A.;Controlador;Ações;964.521.902;964.521.902;0
25674;jul/22;HMOBI Participações S.A.;Controlador;Ações;945.021.199;945.021.199;0
26301;jul/22;Unigel Participações S.A.;Controlador;Ações;920.962.726;920.962.726;0
19550;jul/22;NATURA COSMETICOS S.A.;Controlador;Ações;920.205.397;920.205.397;0
18821;jul/22;CCR S.A.;Controlador;Ações;904.304.444;904.304.444;0
3824;jul/22;CIA PAULISTA DE FORCA E LUZ;Controlador;Ações;880.653.030;880.653.030;0
25208;jul/22;TRACK & FIELD CO S.A.;Controlador;Ações;877.251.375;877.251.375;0
26700;jul/22;EUROFARMA LABORATÓRIOS S.A.;Controlador;Ações;858.714.812;858.714.812;0
24422;jul/22;COMPANHIA ENERGÉTICA JAGUARA;Controlador;Ações;854.408.795;854.408.795;0
